instant,season,mnth,hr,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,1,1,0,6,1,0.2151113796169455,0.2879,0.81,0.0,3,13,1.3437034446606386
2,1,1,1,6,1,0.1988508587451652,0.2727,0.8,0.0,8,32,1.5504460211620947
3,1,1,2,6,1,0.1988508587451652,0.2727,0.8,0.0,5,27,1.503300998004841
4,1,1,3,6,1,0.2151113796169455,0.2879,0.75,0.0,3,10,1.2917246727283112
5,1,1,4,6,1,0.2151113796169455,0.2879,0.75,0.0,0,1,0.5265890341390445
6,1,1,5,6,2,0.2151113796169455,0.2576,0.75,0.0896,0,1,0.5265890341390445
7,1,1,6,6,1,0.1988508587451652,0.2727,0.8,0.0,2,0,0.7412763113750153
8,1,1,7,6,1,0.18232155679395465,0.2576,0.86,0.0,1,2,0.8697416861919438
9,1,1,8,6,1,0.2151113796169455,,0.75,0.0,1,7,1.1622831138840004
10,1,1,9,6,1,0.2776317365982795,0.3485,0.76,0.0,8,6,1.3105061862047918
11,1,1,10,6,1,0.3220834991691133,0.3939,0.76,0.2537,12,24,1.5284269505599697
12,1,1,11,6,1,0.3074846997479606,0.3333,0.81,0.2836,26,30,1.6180113091810355
13,1,1,12,6,1,0.3506568716131694,0.4242,0.77,0.2836,29,55,1.6942663054703442
14,1,1,13,6,2,0.3784364357202451,0.4545,0.72,0.2985,47,47,1.7144962229206409
15,1,1,14,6,2,0.3784364357202451,0.4545,0.72,0.2836,35,71,1.7356879059276584
16,1,1,15,6,2,0.3646431135879093,0.4394,0.77,0.2985,40,70,1.742136743805324
17,1,1,16,6,2,0.3506568716131694,0.4242,0.82,0.2985,41,52,1.712589050021264
18,1,1,17,6,2,0.3646431135879093,,0.82,0.2836,15,52,1.6524030880939045
19,1,1,18,6,3,0.3506568716131694,0.4242,0.88,0.2537,9,26,1.5224670302876946
20,1,1,19,6,3,0.3506568716131694,0.4242,0.88,0.2537,6,31,1.5341940066777084
21,1,1,20,6,2,0.33647223662121295,0.4091,0.87,0.2537,11,25,1.5284269505599697
22,1,1,21,6,2,0.33647223662121295,0.4091,0.87,0.194,3,31,1.5163019408528369
23,1,1,22,6,2,0.33647223662121295,0.4091,0.94,0.2239,11,17,1.4741440143630178
24,1,1,23,6,2,0.3784364357202451,,0.88,0.2985,15,24,1.5451936315479267
25,1,1,0,0,2,0.3784364357202451,0.4545,0.88,0.2985,4,13,1.358504720646626
26,1,1,1,0,2,0.3646431135879093,0.4394,0.94,0.2537,1,16,1.358504720646626
27,1,1,2,0,2,0.3506568716131694,0.4242,1.0,0.2836,1,8,1.1947055233182955
28,1,1,3,0,2,0.3784364357202451,0.4545,0.94,0.194,2,4,1.0804178182729878
29,1,1,4,0,2,0.3784364357202451,,0.94,0.194,2,1,0.8697416861919438
30,1,1,6,0,3,0.3506568716131694,0.4242,0.77,0.2985,0,2,0.7412763113750153
31,1,1,7,0,2,0.33647223662121295,0.4091,0.76,0.194,0,1,0.5265890341390445
32,1,1,8,0,3,0.33647223662121295,0.4091,0.71,0.2239,0,8,1.1622831138840004
33,1,1,9,0,2,0.3220834991691133,,0.76,0.2239,1,19,1.3973634811730353
34,1,1,10,0,2,0.3074846997479606,0.3485,0.81,0.2239,7,46,1.607232291151654
35,1,1,11,0,2,0.3074846997479606,0.3333,0.71,0.2537,16,54,1.6606403793348095
36,1,1,12,0,2,0.3074846997479606,0.3333,0.66,0.2985,20,73,1.712589050021264
37,1,1,13,0,2,0.3074846997479606,0.3485,0.66,0.1343,11,64,1.6734888160092363
38,1,1,14,0,3,0.3074846997479606,,0.76,0.194,4,55,1.6281310150671582
39,1,1,15,0,3,0.29266961396282,0.3333,0.81,0.1642,19,55,1.6710010327416251
40,1,1,16,0,3,0.29266961396282,0.3333,0.71,0.1642,9,67,1.6759380249901916
41,1,1,17,0,1,0.29266961396282,0.3333,0.57,0.194,7,58,1.6466671712706678
42,1,1,18,0,2,0.3074846997479606,0.3333,0.46,0.3284,10,43,1.607232291151654
43,1,1,19,0,1,0.2776317365982795,0.2879,0.42,0.4478,1,29,1.4892992254175486
44,1,1,20,0,1,0.262364264467491,,0.39,0.3582,5,17,1.4196068415100236
45,1,1,21,0,1,0.23111172096338664,0.2273,0.44,0.3284,11,20,1.496434016604423
46,1,1,22,0,1,0.2151113796169455,0.2121,0.44,0.2985,0,9,1.1947055233182955
47,1,1,23,0,1,0.1988508587451652,0.2273,0.47,0.1642,0,8,1.1622831138840004
48,1,1,0,1,1,0.1988508587451652,0.197,0.44,0.3582,0,5,1.026672031199051
49,1,1,1,1,1,0.18232155679395465,,0.44,0.4179,0,2,0.7412763113750153
50,1,1,4,1,1,0.1484200051182733,0.1364,0.47,0.3881,0,1,0.5265890341390445
51,1,1,5,1,1,0.1484200051182733,0.1364,0.47,0.2836,0,3,0.8697416861919438
52,1,1,6,1,1,0.13102826240640408,0.1061,0.5,0.3881,0,30,1.4892992254175486
53,1,1,7,1,1,0.13102826240640408,0.1364,0.5,0.194,1,63,1.6437209301888343
54,1,1,8,1,1,0.13102826240640408,0.1212,0.5,0.2836,1,153,1.798970923559588
55,1,1,9,1,1,0.1484200051182733,0.1364,0.43,0.3881,7,81,1.7026798402849839
56,1,1,10,1,1,0.16551443847757338,0.1667,0.43,0.2537,11,33,1.570002974208493
57,1,1,11,1,1,0.18232155679395465,0.1818,0.4,0.3284,10,41,1.5996388013001024
58,1,1,12,1,1,0.1988508587451652,0.2121,0.35,0.2985,13,48,1.63454690370149
59,1,1,13,1,1,0.2151113796169455,,0.35,0.2836,8,53,1.63454690370149
60,1,1,14,1,1,0.23111172096338664,0.2424,0.3,0.2836,11,66,1.6783497616208911
61,1,1,15,1,1,0.23111172096338664,0.2424,0.3,0.2537,14,58,1.6659050929776016
62,1,1,16,1,1,0.23111172096338664,0.2424,0.3,0.2537,9,67,1.6759380249901916
63,1,1,17,1,1,0.2151113796169455,0.2273,0.3,0.2239,11,146,1.8021379316915813
64,1,1,18,1,1,0.2151113796169455,0.2576,0.32,0.1045,9,148,1.8021379316915813
65,1,1,19,1,1,0.18232155679395465,0.2576,0.47,0.0,8,102,1.742136743805324
66,1,1,20,1,1,0.18232155679395465,,0.47,0.1045,3,49,1.6034785735048491
67,1,1,21,1,1,0.16551443847757338,0.197,0.64,0.1343,3,49,1.6034785735048491
68,1,1,22,1,1,0.13102826240640408,0.1515,0.69,0.1343,0,20,1.3973634811730353
69,1,1,23,1,1,0.16551443847757338,0.2121,0.55,0.1045,1,11,1.2711498482847257
70,1,1,0,2,1,0.1484200051182733,,0.55,0.1045,0,5,1.026672031199051
71,1,1,1,2,1,0.1484200051182733,0.1818,0.59,0.1045,0,2,0.7412763113750153
72,1,1,2,2,1,0.13102826240640408,0.1515,0.63,0.1343,0,1,0.5265890341390445
73,1,1,4,2,1,0.13102826240640408,0.1818,0.63,0.0896,0,2,0.7412763113750153
74,1,1,5,2,1,0.11332868530700317,0.1515,0.68,0.1045,0,4,0.9591348389208239
75,1,1,6,2,1,0.11332868530700317,0.1515,0.74,0.1045,0,36,1.5284269505599697
76,1,1,7,2,1,0.11332868530700317,0.1515,0.74,0.1343,2,92,1.7144962229206409
77,1,1,8,2,1,0.13102826240640408,0.1515,0.69,0.1642,2,177,1.8234126545313947
78,1,1,9,2,1,0.1484200051182733,0.1515,0.64,0.2239,2,98,1.7254630513334037
79,1,1,10,2,2,0.1484200051182733,0.1364,0.69,0.3284,5,37,1.5604997616108316
80,1,1,11,2,1,0.1988508587451652,0.2121,0.51,0.2985,7,50,1.6214540309583532
81,1,1,12,2,1,0.1988508587451652,0.2273,0.51,0.1642,12,66,1.6807250824647135
82,1,1,13,2,1,0.2151113796169455,0.2273,0.56,0.194,18,79,1.7200786095266942
83,1,1,14,2,1,0.23111172096338664,0.2576,0.52,0.2239,9,54,1.6407200993500939
84,1,1,15,2,1,0.2468600779315258,0.2727,0.52,0.2537,17,48,1.6466671712706678
85,1,1,16,2,1,0.262364264467491,0.2879,0.49,0.2537,15,68,1.6920895459931111
86,1,1,17,2,1,0.2468600779315258,0.2727,0.48,0.2239,10,202,1.8273919355670145
87,1,1,18,2,1,0.23111172096338664,0.2576,0.48,0.194,3,179,1.8260781474077188
88,1,1,19,2,1,0.2151113796169455,0.2576,0.48,0.1045,2,110,1.74525954872198
89,1,1,20,2,1,0.2151113796169455,0.2576,0.48,0.1045,1,53,1.6109034750189168
90,1,1,21,2,1,0.1988508587451652,0.2727,0.64,0.0,0,48,1.5875644833216505
91,1,1,22,2,1,0.1988508587451652,0.2576,0.64,0.0896,1,34,1.5224670302876946
92,1,1,23,2,1,0.18232155679395465,0.2273,0.69,0.0896,2,9,1.2484412575662103
93,1,1,0,3,1,0.18232155679395465,0.2576,0.64,0.0,0,6,1.0804178182729878
94,1,1,1,3,1,0.1484200051182733,0.197,0.74,0.0896,0,6,1.0804178182729878
95,1,1,2,3,1,0.1484200051182733,0.197,0.74,0.0896,0,2,0.7412763113750153
96,1,1,4,3,1,0.2151113796169455,0.2273,0.48,0.2239,0,2,0.7412763113750153
97,1,1,5,3,1,0.1988508587451652,0.2273,0.47,0.1642,0,3,0.8697416861919438
98,1,1,6,3,1,0.18232155679395465,0.197,0.47,0.2239,0,33,1.5099182003836584
99,1,1,7,3,1,0.16551443847757338,0.1818,0.43,0.194,1,87,1.7026798402849839
100,1,1,8,3,1,0.18232155679395465,0.1818,0.4,0.2985,3,192,1.8273919355670145
101,1,1,9,3,1,0.1988508587451652,0.197,0.37,0.3284,6,109,1.749824041026481
102,1,1,10,3,1,0.1988508587451652,0.197,0.37,0.3284,4,53,1.6214540309583532
103,1,1,11,3,1,0.23111172096338664,0.2273,0.33,0.3284,12,34,1.579009137828587
104,1,1,12,3,1,0.23111172096338664,0.2273,0.33,0.3284,5,74,1.6830650011356274
105,1,1,13,3,1,0.2468600779315258,0.2576,0.3,0.2985,6,65,1.6632944814375767
106,1,1,14,3,1,0.262364264467491,0.2879,0.28,0.194,10,52,1.637662762520353
107,1,1,15,3,1,0.262364264467491,0.2879,0.28,0.194,7,55,1.637662762520353
108,1,1,16,3,1,0.262364264467491,0.3182,0.28,0.0896,4,85,1.7047134862451474
109,1,1,17,3,1,0.2151113796169455,0.2273,0.38,0.194,4,186,1.8273919355670145
110,1,1,18,3,1,0.2151113796169455,0.2424,0.38,0.1343,3,166,1.8141402142832723
111,1,1,19,3,1,0.2151113796169455,0.2576,0.38,0.1045,5,127,1.7733152706473527
112,1,1,20,3,1,0.1988508587451652,0.2273,0.47,0.1642,7,82,1.7047134862451474
113,1,1,21,3,1,0.18232155679395465,0.197,0.51,0.194,3,40,1.5653166550596793
114,1,1,22,3,1,0.16551443847757338,0.197,0.55,0.1343,1,41,1.5604997616108316
115,1,1,23,3,1,0.18232155679395465,0.2576,0.47,0.0,1,18,1.3852268599316875
116,1,1,0,4,1,0.16551443847757338,0.2424,0.55,0.0,0,11,1.2484412575662103
117,1,1,1,4,1,0.1484200051182733,0.2273,0.64,0.0,0,4,0.9591348389208239
118,1,1,2,4,1,0.1484200051182733,0.2273,0.64,0.0,0,2,0.7412763113750153
119,1,1,4,4,2,0.1484200051182733,0.197,0.64,0.0896,0,1,0.5265890341390445
120,1,1,5,4,2,0.13102826240640408,0.1818,0.69,0.0896,0,4,0.9591348389208239
121,1,1,6,4,2,0.13102826240640408,0.1667,0.63,0.1045,0,36,1.5284269505599697
122,1,1,7,4,2,0.1484200051182733,0.2273,0.59,0.0,0,95,1.7163798514467992
123,1,1,8,4,1,0.1484200051182733,0.2273,0.59,0.0,3,216,1.8273919355670145
124,1,1,9,4,2,0.16551443847757338,0.2424,0.51,0.0,6,116,1.7599564649868773
125,1,1,10,4,1,0.18232155679395465,0.2576,0.47,0.0,3,42,1.5745651437258248
126,1,1,11,4,1,0.1988508587451652,0.2576,0.44,0.0896,2,57,1.6281310150671582
127,1,1,12,4,1,0.23111172096338664,0.2879,0.35,0.0,6,78,1.6942663054703442
128,1,1,13,4,1,0.23111172096338664,0.2727,0.35,0.1045,12,55,1.6524030880939045
129,1,1,14,4,1,0.2468600779315258,0.2727,0.36,0.1642,11,59,1.6606403793348095
130,1,1,15,4,1,0.2468600779315258,0.2727,0.36,0.0,8,54,1.637662762520353
131,1,1,16,4,1,0.23111172096338664,0.2576,0.38,0.1642,12,74,1.6985302777514544
132,1,1,17,4,1,0.1988508587451652,0.2273,0.51,0.1642,9,163,1.8169871572575529
133,1,1,18,4,1,0.1988508587451652,0.2273,0.51,0.1343,5,158,1.8082668738615209
134,1,1,19,4,1,0.1988508587451652,0.2576,0.55,0.0896,3,109,1.74525954872198
135,1,1,20,4,1,0.18232155679395465,0.2121,0.51,0.1642,3,66,1.6579414149579819
136,1,1,21,4,2,0.1988508587451652,0.2121,0.55,0.2239,0,48,1.5875644833216505
137,1,1,22,4,2,0.1988508587451652,0.2121,0.51,0.2836,1,51,1.6034785735048491
138,1,1,23,4,2,0.18232155679395465,0.197,0.59,0.194,4,19,1.4298455472897516
139,1,1,0,5,2,0.18232155679395465,0.197,0.64,0.194,4,13,1.358504720646626
140,1,1,1,5,2,0.18232155679395465,0.197,0.69,0.2239,2,5,1.1247482629090362
141,1,1,2,5,2,0.18232155679395465,0.197,0.69,0.2239,0,1,0.5265890341390445
142,1,1,4,5,2,0.18232155679395465,0.2121,0.69,0.1343,0,1,0.5265890341390445
143,1,1,5,5,3,0.1988508587451652,0.2727,0.55,0.0,0,5,1.026672031199051
144,1,1,6,5,2,0.18232155679395465,0.2576,0.69,0.0,8,26,1.5163019408528369
145,1,1,7,5,1,0.18232155679395465,0.2121,0.69,0.1343,8,76,1.6942663054703442
146,1,1,8,5,1,0.18232155679395465,0.197,0.51,0.2537,20,190,1.8273919355670145
147,1,1,9,5,1,0.18232155679395465,0.1818,0.47,0.2985,9,125,1.775845981748474
148,1,1,10,5,1,0.1988508587451652,0.197,0.37,0.3284,16,47,1.6407200993500939
149,1,1,11,5,2,0.18232155679395465,0.197,0.4,0.2239,19,48,1.6524030880939045
150,1,1,12,5,2,0.18232155679395465,0.197,0.37,0.2537,9,50,1.6281310150671582
151,1,1,13,5,2,0.18232155679395465,0.1818,0.37,0.2836,9,64,1.6684735252826461
152,1,1,14,5,2,0.18232155679395465,0.197,0.4,0.2537,7,43,1.5957092304038698
153,1,1,15,5,2,0.18232155679395465,0.2121,0.37,0.1642,9,63,1.6659050929776016
154,1,1,16,5,2,0.18232155679395465,0.2121,0.37,0.1642,5,82,1.700619000072578
155,1,1,17,5,2,0.18232155679395465,0.2576,0.37,0.0,9,178,1.8273919355670145
156,1,1,18,5,1,0.18232155679395465,0.2273,0.4,0.0896,7,116,1.7613486395430595
157,1,1,19,5,1,0.1484200051182733,0.197,0.55,0.0896,3,92,1.7163798514467992
158,1,1,20,5,1,0.16551443847757338,0.2121,0.47,0.1045,1,50,1.5996388013001024
159,1,1,21,5,1,0.16551443847757338,0.197,0.47,0.1343,0,39,1.5451936315479267
160,1,1,22,5,2,0.16551443847757338,0.197,0.43,0.1642,2,34,1.5284269505599697
161,1,1,23,5,2,0.16551443847757338,0.197,0.51,0.1642,1,14,1.327761429538331
162,1,1,0,6,2,0.16551443847757338,0.197,0.51,0.1642,1,24,1.448822238365871
163,1,1,1,6,2,0.16551443847757338,0.2121,0.55,0.0896,1,15,1.3437034446606386
164,1,1,2,6,2,0.16551443847757338,0.2424,0.55,0.0,3,13,1.3437034446606386
165,1,1,3,6,3,0.16551443847757338,0.197,0.55,0.1642,0,7,1.1247482629090362
166,1,1,4,6,3,0.16551443847757338,0.197,0.55,0.1642,0,1,0.5265890341390445
167,1,1,5,6,2,0.1484200051182733,0.1667,0.74,0.1642,0,5,1.026672031199051
168,1,1,6,6,2,0.1484200051182733,0.1667,0.74,0.1642,0,2,0.7412763113750153
169,1,1,7,6,2,0.1484200051182733,0.1818,0.74,0.1045,1,8,1.1947055233182955
170,1,1,8,6,3,0.1484200051182733,0.1818,0.93,0.1045,0,15,1.327761429538331
171,1,1,9,6,3,0.1484200051182733,0.1818,0.93,0.1045,0,20,1.3973634811730353
172,1,1,10,6,2,0.16551443847757338,0.197,0.8,0.1642,5,56,1.63454690370149
173,1,1,11,6,2,0.18232155679395465,0.1818,0.69,0.3881,2,60,1.637662762520353
174,1,1,12,6,2,0.18232155679395465,0.1818,0.59,0.3582,8,90,1.7218947624700471
175,1,1,13,6,1,0.18232155679395465,0.1818,0.44,0.3284,7,95,1.7289490519659823
176,1,1,14,6,1,0.18232155679395465,0.1667,0.32,0.4925,12,83,1.7163798514467992
177,1,1,15,6,1,0.18232155679395465,0.1667,0.32,0.4478,5,69,1.6710010327416251
178,1,1,16,6,1,0.16551443847757338,0.1364,0.29,0.4478,8,68,1.6759380249901916
179,1,1,17,6,1,0.1484200051182733,0.1212,0.37,0.5522,5,64,1.6579414149579819
180,1,1,18,6,1,0.13102826240640408,0.1212,0.39,0.2985,3,52,1.6144954397020792
181,1,1,19,6,1,0.13102826240640408,0.1212,0.36,0.2537,4,26,1.4892992254175486
182,1,1,20,6,1,0.11332868530700317,0.1212,0.36,0.2537,0,28,1.4741440143630178
183,1,1,21,6,1,0.11332868530700317,0.1061,0.39,0.3582,2,35,1.5341940066777084
184,1,1,22,6,1,0.11332868530700317,0.1061,0.36,0.3881,1,33,1.5163019408528369
185,1,1,23,6,1,0.09531017980432487,0.0606,0.39,0.4478,0,22,1.4196068415100236
186,1,1,0,0,1,0.09531017980432487,0.0758,0.42,0.3881,1,24,1.448822238365871
187,1,1,1,0,1,0.09531017980432487,0.0606,0.42,0.4627,0,12,1.2711498482847257
188,1,1,2,0,1,0.09531017980432487,0.0606,0.46,0.4627,0,11,1.2484412575662103
189,1,1,3,0,1,0.09531017980432487,0.0758,0.46,0.4179,0,4,0.9591348389208239
190,1,1,4,0,1,0.07696104113612832,0.0909,0.53,0.194,0,1,0.5265890341390445
191,1,1,5,0,1,0.07696104113612832,0.0909,0.53,0.194,0,1,0.5265890341390445
192,1,1,6,0,1,0.09531017980432487,0.0909,0.49,0.2836,0,1,0.5265890341390445
193,1,1,7,0,1,0.07696104113612832,0.0909,0.53,0.194,1,5,1.0804178182729878
194,1,1,8,0,1,0.09531017980432487,0.0909,0.49,0.2836,0,10,1.223156202527103
195,1,1,9,0,1,0.11332868530700317,0.0758,0.46,0.5224,0,19,1.3852268599316875
196,1,1,10,0,1,0.13102826240640408,0.1061,0.43,0.3881,0,49,1.5916858743493758
197,1,1,11,0,1,0.1484200051182733,0.1212,0.4,0.5224,2,47,1.5916858743493758
198,1,1,12,0,1,0.16551443847757338,0.1364,0.37,0.4478,4,79,1.6920895459931111
199,1,1,13,0,1,0.18232155679395465,0.1667,0.34,0.4478,6,69,1.6734888160092363
200,1,1,14,0,1,0.1988508587451652,0.1818,0.32,0.4627,8,64,1.6659050929776016
201,1,1,15,0,1,0.1988508587451652,0.197,0.35,0.3582,5,77,1.68988188256892
202,1,1,16,0,1,0.18232155679395465,0.1667,0.34,0.4478,13,79,1.710657776180059
203,1,1,17,0,1,0.16551443847757338,0.1515,0.37,0.3881,3,59,1.637662762520353
204,1,1,18,0,1,0.1484200051182733,0.1364,0.4,0.3284,4,44,1.5875644833216505
205,1,1,19,0,1,0.1484200051182733,0.1364,0.43,0.3284,1,40,1.5555453730992024
206,1,1,20,0,1,0.13102826240640408,0.1212,0.46,0.2537,0,38,1.5397794579522743
207,1,1,21,0,1,0.13102826240640408,0.1061,0.46,0.4179,1,19,1.3973634811730353
208,1,1,22,0,1,0.13102826240640408,0.1212,0.46,0.2985,5,10,1.327761429538331
209,1,1,23,0,1,0.11332868530700317,0.1364,0.5,0.194,0,6,1.0804178182729878
210,1,1,0,1,1,0.11332868530700317,0.1212,0.5,0.2836,2,3,1.026672031199051
211,1,1,1,1,1,0.11332868530700317,0.1212,0.5,0.2836,1,0,0.5265890341390445
212,1,1,2,1,1,0.11332868530700317,0.1212,0.5,0.2239,0,3,0.8697416861919438
213,1,1,3,1,1,0.11332868530700317,0.1212,0.5,0.2239,0,1,0.5265890341390445
214,1,1,4,1,1,0.09531017980432487,0.1212,0.54,0.1343,1,2,0.8697416861919438
215,1,1,5,1,1,0.09531017980432487,0.1061,0.54,0.2537,0,3,0.8697416861919438
216,1,1,6,1,1,0.11332868530700317,0.1212,0.5,0.2836,0,31,1.496434016604423
217,1,1,7,1,1,0.11332868530700317,0.1212,0.5,0.2239,2,75,1.6783497616208911
218,1,1,8,1,2,0.11332868530700317,0.1212,0.5,0.2836,4,184,1.8273919355670145
219,1,1,9,1,2,0.13102826240640408,0.1212,0.5,0.2537,2,92,1.7144962229206409
220,1,1,10,1,2,0.13102826240640408,0.1212,0.5,0.2985,0,31,1.496434016604423
221,1,1,11,1,2,0.1484200051182733,0.1364,0.47,0.2836,2,28,1.4892992254175486
222,1,1,12,1,2,0.18232155679395465,0.1818,0.4,0.2836,5,47,1.6034785735048491
223,1,1,13,1,2,0.18232155679395465,0.1818,0.4,0.2836,4,50,1.6109034750189168
224,1,1,14,1,2,0.18232155679395465,0.197,0.4,0.2239,0,47,1.583340520839692
225,1,1,15,1,2,0.18232155679395465,0.197,0.4,0.2239,2,43,1.5745651437258248
226,1,1,16,1,1,0.18232155679395465,0.2121,0.4,0.1343,4,70,1.6710010327416251
227,1,1,17,1,1,0.18232155679395465,0.2273,0.4,0.1045,4,174,1.8225126721028055
228,1,1,18,1,1,0.18232155679395465,0.197,0.4,0.2239,1,154,1.8000344713048928
229,1,1,19,1,1,0.1484200051182733,0.1667,0.47,0.1642,3,92,1.7163798514467992
230,1,1,20,1,1,0.1484200051182733,0.1667,0.5,0.1642,1,73,1.6710010327416251
231,1,1,21,1,1,0.13102826240640408,0.1364,0.59,0.194,1,37,1.5397794579522743
232,1,1,22,1,1,0.13102826240640408,0.1515,0.59,0.1642,2,22,1.4395687003478859
233,1,1,23,1,1,0.13102826240640408,0.1515,0.59,0.1642,0,18,1.372306733580753
234,1,1,0,2,1,0.13102826240640408,0.1667,0.59,0.1045,2,10,1.2711498482847257
235,1,1,1,2,1,0.13102826240640408,0.1515,0.59,0.1642,0,3,0.8697416861919438
236,1,1,2,2,2,0.1484200051182733,0.1515,0.55,0.194,0,3,0.8697416861919438
237,1,1,5,2,2,0.1484200051182733,0.1818,0.55,0.1343,0,6,1.0804178182729878
238,1,1,6,2,2,0.1484200051182733,0.1818,0.55,0.1343,0,27,1.4660765372061442
239,1,1,7,2,2,0.1484200051182733,0.2273,0.55,0.0,2,97,1.7236894193081456
240,1,1,8,2,2,0.16551443847757338,0.2121,0.51,0.0896,3,214,1.8273919355670145
241,1,1,9,2,2,0.16551443847757338,0.197,0.51,0.1642,3,127,1.77073964639405
242,1,1,10,2,2,0.18232155679395465,0.2121,0.51,0.1642,3,51,1.6109034750189168
243,1,1,11,2,2,0.18232155679395465,0.2121,0.47,0.1343,4,31,1.5224670302876946
244,1,1,12,2,2,0.18232155679395465,0.2273,0.51,0.1045,2,55,1.6214540309583532
245,1,1,13,2,2,0.18232155679395465,0.2273,0.59,0.0896,6,46,1.6034785735048491
246,1,1,14,2,2,0.18232155679395465,0.2273,0.59,0.0896,3,60,1.6407200993500939
247,1,1,15,2,2,0.1484200051182733,0.197,0.8,0.0896,2,45,1.583340520839692
248,1,1,16,2,2,0.1484200051182733,0.1515,0.86,0.2239,4,72,1.6759380249901916
249,1,1,17,2,2,0.1484200051182733,0.1515,0.86,0.2239,6,130,1.7783332269022314
250,1,1,18,2,3,0.1484200051182733,0.1818,0.93,0.1045,1,94,1.7163798514467992
